,index,id_usuario,tipo_usuario,sistema_usuario,id_contenido,duracion_contenido,tipo_contenido,numero_sesion,recomendaciones_vistas,minutos_sesion,sistema_sesion,recomendaciones_totales,fecha_sesion,avg_valoracion,duracion_prom_sesion,porcentaje_finalizado,avg_sesiones_semana,click_rate
10,10,14,consumer,Recomendeitor_Plus,"[120, 4]",135,"['series', 'movie']",2,2,179,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 8, 3), datetime.date(2022, 10, 23)]",2.60,89.5,132.59,1.0,2.0
11,11,16,content_creator,Recomendeitor,"[186, 100]",5400,"['series', 'movie']",48,2,1944,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 8, 20), datetime.date(2022, 4, 25)]",3.95,40.5,36.0,1.0,0.5
12,12,17,moderator,Recomendeitor_Plus,"[161, 21]",1344,"['short', 'movie']",16,2,1248,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 2, 23), datetime.date(2021, 1, 31)]",3.90,78.0,92.86,1.0,0.5
13,13,18,consumer,Recomendeitor,"[49, 164]",1434,"['short', 'documentary']",12,2,1170,['Recomendeitor_Plus'],2,"[datetime.date(2021, 10, 24), datetime.date(2022, 3, 10)]",2.50,97.5,81.59,1.0,1.0
14,14,19,moderator,Recomendeitor_Plus,"[17, 101, 181, 31]",694,"['short', 'series', 'movie']",8,4,896,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 11, 18), datetime.date(2022, 11, 7), datetime.date(2022, 5, 28), datetime.date(2022, 6, 9)]",2.70,112.0,129.11,1.0,4.0
15,15,21,moderator,Recomendeitor,"[186, 77, 164, 90]",2556,"['short', 'documentary', 'series', 'movie']",36,4,2772,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 1, 4), datetime.date(2022, 6, 8), datetime.date(2022, 4, 25), datetime.date(2021, 5, 18)]",2.33,77.0,108.45,1.0,1.33
16,16,22,admin,Recomendeitor,"[200, 177, 71]",198,"['documentary', 'live']",3,3,393,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 2, 12), datetime.date(2021, 7, 23), datetime.date(2021, 1, 13)]",2.77,131.0,198.48,1.0,3.0
17,17,24,content_creator,Recomendeitor,[144],624,['series'],4,1,588,['Recomendeitor_Plus'],2,"[datetime.date(2022, 5, 9)]",2.40,147.0,94.23,1.0,0.5
18,18,26,content_creator,Recomendeitor,"[138, 167]",1008,"['short', 'series']",6,2,792,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 1, 17), datetime.date(2021, 5, 16)]",3.50,132.0,78.57,1.0,0.67
19,19,27,content_creator,Recomendeitor,"[66, 180, 79]",849,"['documentary', 'live', 'movie']",9,3,144,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 4, 19), datetime.date(2021, 3, 12), datetime.date(2022, 3, 30)]",2.23,16.0,16.96,1.0,1.0
20,20,28,content_creator,Recomendeitor,"[36, 28]",200,"['documentary', 'live']",20,2,1570,"['Recomendeitor_Plus', 'Recomendeitor']",5,"[datetime.date(2021, 8, 15), datetime.date(2021, 12, 22)]",3.55,78.5,785.0,1.0,0.4
21,21,31,admin,Recomendeitor_Plus,"[106, 132]",2670,"['short', 'movie']",30,2,2865,['Recomendeitor_Plus'],5,"[datetime.date(2021, 12, 25), datetime.date(2021, 11, 17)]",3.20,95.5,107.3,1.0,0.4
22,22,32,content_creator,Recomendeitor_Plus,[101],3075,['movie'],25,1,650,['Recomendeitor_Plus'],4,"[datetime.date(2022, 2, 11)]",2.70,26.0,21.14,1.0,0.25
23,23,34,content_creator,Recomendeitor,[188],1368,['live'],12,1,1212,['Recomendeitor'],3,"[datetime.date(2022, 3, 30)]",4.30,101.0,88.6,1.0,0.33
24,24,35,moderator,Recomendeitor,"[8, 57, 92, 166]",978,"['short', 'documentary', 'movie']",8,4,718,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 6, 5), datetime.date(2022, 3, 14), datetime.date(2022, 10, 20), datetime.date(2021, 10, 8)]",3.75,89.75,73.42,1.0,4.0
25,25,36,moderator,Recomendeitor,"[169, 106]",3892,"['live', 'movie']",28,2,1736,"['Recomendeitor_Plus', 'Recomendeitor']",7,"[datetime.date(2021, 12, 19), datetime.date(2021, 9, 3)]",1.45,62.0,44.6,1.0,0.29
26,26,37,moderator,Recomendeitor_Plus,[79],186,['documentary'],3,1,510,['Recomendeitor'],3,"[datetime.date(2022, 6, 20)]",3.20,170.0,274.19,1.0,0.33
27,27,38,admin,Recomendeitor,"[122, 4]",1635,"['short', 'series']",30,2,1050,"['Recomendeitor_Plus', 'Recomendeitor']",5,"[datetime.date(2022, 9, 6), datetime.date(2022, 11, 21)]",1.55,35.0,64.22,1.0,0.4
28,28,42,moderator,Recomendeitor,"[97, 123, 180]",783,"['short', 'live', 'series']",9,3,1044,['Recomendeitor_Plus'],1,"[datetime.date(2021, 12, 1), datetime.date(2022, 12, 24), datetime.date(2022, 12, 27)]",2.07,116.0,133.33,1.0,3.0
29,29,43,moderator,Recomendeitor,"[130, 85, 166]",2370,"['series', 'live', 'movie']",30,3,1210,"['Recomendeitor_Plus', 'Recomendeitor']",5,"[datetime.date(2022, 7, 16), datetime.date(2021, 8, 28), datetime.date(2022, 3, 15)]",2.77,40.33,51.05,1.0,0.6
30,30,44,moderator,Recomendeitor_Plus,"[186, 53, 140, 173]",7220,"['short', 'series']",80,4,8260,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 2, 27), datetime.date(2021, 6, 9), datetime.date(2021, 3, 13), datetime.date(2022, 3, 11)]",3.55,103.25,114.4,1.0,1.0
31,31,46,consumer,Recomendeitor,[69],1440,['live'],12,1,888,['Recomendeitor'],4,"[datetime.date(2022, 10, 11)]",3.00,74.0,61.67,1.0,0.25
32,32,47,content_creator,Recomendeitor,[91],120,['series'],3,1,231,['Recomendeitor_Plus'],3,"[datetime.date(2022, 12, 2)]",2.20,77.0,192.5,1.0,0.33
33,33,48,consumer,Recomendeitor_Plus,"[98, 72, 145, 153, 186]",2418,"['live', 'movie', 'documentary', 'short', 'series']",30,5,3480,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 8, 3), datetime.date(2022, 6, 24), datetime.date(2021, 10, 2), datetime.date(2021, 3, 15), datetime.date(2022, 6, 23)]",3.26,116.0,143.92,1.25,2.5
34,34,49,content_creator,Recomendeitor,"[141, 79]",384,"['documentary', 'live']",4,2,486,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 5, 9), datetime.date(2022, 1, 18)]",2.65,121.5,126.56,1.0,1.0
35,35,50,admin,Recomendeitor,"[5, 12, 58, 157, 95]",1604,"['documentary', 'live', 'movie']",20,5,1364,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 2, 6), datetime.date(2022, 6, 21), datetime.date(2022, 5, 17), datetime.date(2022, 8, 15)]",2.78,68.2,85.04,1.0,1.25
36,36,52,admin,Recomendeitor_Plus,"[64, 194, 147]",1329,"['live', 'documentary', 'series']",9,3,954,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 12, 19), datetime.date(2021, 9, 9), datetime.date(2021, 10, 21)]",3.30,106.0,71.78,1.0,3.0
37,37,53,admin,Recomendeitor_Plus,"[70, 167]",4056,['short'],24,2,3744,['Recomendeitor'],3,"[datetime.date(2021, 5, 11), datetime.date(2021, 9, 13)]",2.90,156.0,92.31,1.0,0.67
38,38,56,content_creator,Recomendeitor,"[40, 82, 195, 79]",546,"['short', 'documentary', 'live']",8,4,252,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 5, 23), datetime.date(2022, 8, 24), datetime.date(2021, 12, 4), datetime.date(2022, 11, 21)]",2.20,31.5,46.15,1.0,4.0
39,39,57,consumer,Recomendeitor_Plus,[97],63,['series'],1,1,28,['Recomendeitor'],1,"[datetime.date(2022, 3, 13)]",1.90,28.0,44.44,1.0,1.0
40,40,58,admin,Recomendeitor,"[160, 33, 164, 69]",1956,"['series', 'documentary', 'live', 'movie']",16,4,1868,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 4, 8), datetime.date(2022, 6, 10), datetime.date(2021, 3, 7), datetime.date(2022, 7, 13)]",2.38,116.75,95.5,1.0,2.0
41,41,60,consumer,Recomendeitor_Plus,"[98, 188, 22]",1914,"['documentary', 'live', 'movie']",18,3,1734,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 12, 19), datetime.date(2022, 11, 24), datetime.date(2022, 2, 20)]",3.50,96.33,90.6,1.0,1.5
42,42,62,moderator,Recomendeitor_Plus,"[82, 51]",3660,"['short', 'live']",24,2,1824,['Recomendeitor_Plus'],3,"[datetime.date(2022, 10, 27), datetime.date(2022, 9, 1)]",1.65,76.0,49.84,1.0,0.67
43,43,63,moderator,Recomendeitor_Plus,"[101, 62]",1004,['movie'],8,2,648,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 4, 17), datetime.date(2021, 8, 12)]",2.20,81.0,64.54,1.0,2.0
44,44,64,consumer,Recomendeitor_Plus,"[177, 2, 147, 68]",604,"['documentary', 'live']",8,4,198,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 3, 27), datetime.date(2021, 12, 11), datetime.date(2022, 5, 29), datetime.date(2022, 8, 29)]",3.28,24.75,32.78,1.0,4.0
45,45,65,moderator,Recomendeitor,"[90, 147, 12]",813,"['short', 'live']",9,3,507,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 9, 25), datetime.date(2021, 12, 2), datetime.date(2021, 2, 1)]",2.47,56.33,62.36,1.0,3.0
46,46,66,content_creator,Recomendeitor_Plus,"[188, 37]",3444,"['live', 'movie']",24,2,3912,['Recomendeitor_Plus'],3,"[datetime.date(2022, 12, 2), datetime.date(2021, 3, 13)]",2.85,163.0,113.59,1.0,0.67
47,47,67,content_creator,Recomendeitor,"[163, 78]",318,"['short', 'live']",4,2,354,['Recomendeitor_Plus'],1,"[datetime.date(2021, 4, 17), datetime.date(2021, 4, 30)]",3.65,88.5,111.32,1.0,2.0
48,48,68,consumer,Recomendeitor,"[161, 15]",1413,['short'],18,2,1683,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 1, 5), datetime.date(2022, 8, 20)]",2.65,93.5,119.11,1.0,0.67
49,49,69,content_creator,Recomendeitor_Plus,"[73, 148, 121]",2944,"['short', 'documentary', 'movie']",24,3,1768,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 12, 4), datetime.date(2022, 9, 12), datetime.date(2022, 11, 4)]",3.63,73.67,60.05,1.0,0.75
50,50,70,admin,Recomendeitor_Plus,"[148, 86, 44]",278,"['short', 'series']",3,3,196,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 9, 9), datetime.date(2021, 9, 5), datetime.date(2021, 7, 27)]",2.87,65.33,70.5,1.0,3.0
51,51,71,consumer,Recomendeitor_Plus,"[34, 27, 181, 183]",1108,"['documentary', 'series']",16,4,1092,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 4, 7), datetime.date(2022, 11, 12), datetime.date(2022, 5, 15), datetime.date(2022, 12, 5)]",2.80,68.25,98.56,1.0,2.0
52,52,72,content_creator,Recomendeitor,"[1, 130, 41, 141, 18, 126]",383,"['series', 'documentary', 'live']",6,6,600,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 1, 30), datetime.date(2022, 9, 22), datetime.date(2021, 4, 11), datetime.date(2021, 7, 3), datetime.date(2021, 4, 14), datetime.date(2021, 9, 21)]",2.63,100.0,156.66,1.0,6.0
53,53,74,moderator,Recomendeitor_Plus,"[72, 46]",477,"['short', 'series']",6,2,549,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 1, 29), datetime.date(2021, 1, 21)]",3.80,91.5,115.09,1.0,2.0
54,54,75,content_creator,Recomendeitor_Plus,"[172, 91, 12, 149]",1155,"['series', 'documentary', 'live']",20,4,1090,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 8, 27), datetime.date(2022, 6, 17), datetime.date(2022, 4, 22), datetime.date(2021, 7, 12)]",2.92,54.5,94.37,1.0,4.0
55,55,76,admin,Recomendeitor_Plus,"[37, 106, 80, 16, 176, 188]",2304,"['short', 'live', 'movie']",18,6,1557,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 6, 25), datetime.date(2022, 3, 4), datetime.date(2021, 7, 6), datetime.date(2021, 7, 18), datetime.date(2021, 9, 5), datetime.date(2021, 12, 29)]",2.38,86.5,67.58,1.0,6.0
56,56,77,content_creator,Recomendeitor_Plus,"[140, 165]",2040,['series'],24,2,2484,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 9, 27), datetime.date(2021, 3, 15)]",4.10,103.5,121.76,1.0,0.67
57,57,78,consumer,Recomendeitor,"[72, 19]",2380,"['short', 'documentary']",28,2,4018,['Recomendeitor_Plus'],6,"[datetime.date(2021, 12, 16), datetime.date(2022, 10, 13)]",4.65,143.5,168.82,1.0,0.33
58,58,79,consumer,Recomendeitor,"[97, 171, 148, 158]",1820,"['short', 'series']",20,4,1410,['Recomendeitor'],5,"[datetime.date(2021, 12, 7), datetime.date(2021, 2, 23), datetime.date(2022, 1, 16), datetime.date(2022, 1, 15)]",2.68,70.5,77.47,1.3333333333333333,0.8
59,59,82,admin,Recomendeitor_Plus,"[143, 87]",720,"['short', 'series']",9,2,681,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 10, 28), datetime.date(2021, 3, 17), datetime.date(2022, 8, 15)]",2.45,75.67,94.58,1.0,0.67
60,60,83,admin,Recomendeitor_Plus,"[159, 131, 79]",873,"['short', 'documentary']",9,3,870,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 4, 23), datetime.date(2021, 7, 3), datetime.date(2022, 6, 1)]",3.37,96.67,99.66,1.0,1.0
61,61,86,moderator,Recomendeitor_Plus,"[178, 131]",990,"['short', 'live']",18,2,819,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 2, 23), datetime.date(2022, 9, 21)]",3.50,45.5,82.73,1.0,0.67
62,62,87,consumer,Recomendeitor_Plus,"[17, 101, 133, 87]",3040,"['short', 'movie']",32,4,2400,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 7, 17), datetime.date(2022, 3, 24), datetime.date(2022, 2, 26), datetime.date(2022, 10, 19)]",3.18,75.0,78.95,1.0,1.0
63,63,89,content_creator,Recomendeitor_Plus,"[62, 103]",293,"['series', 'movie']",2,2,100,['Recomendeitor_Plus'],1,"[datetime.date(2021, 3, 22), datetime.date(2022, 5, 17)]",2.00,50.0,34.13,1.0,2.0
64,64,90,admin,Recomendeitor,"[77, 145, 177, 20, 182]",840,"['documentary', 'live', 'movie']",10,5,664,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 7, 28), datetime.date(2021, 4, 17), datetime.date(2021, 3, 22), datetime.date(2022, 4, 16), datetime.date(2022, 8, 15)]",2.22,66.4,79.05,1.0,2.5
65,65,91,moderator,Recomendeitor_Plus,"[124, 7]",264,"['series', 'movie']",4,2,526,['Recomendeitor'],2,"[datetime.date(2022, 10, 1), datetime.date(2022, 8, 2)]",2.85,131.5,199.24,1.0,1.0
66,66,92,admin,Recomendeitor,"[120, 39]",788,"['short', 'movie']",8,2,680,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 10, 21), datetime.date(2022, 3, 7)]",2.60,85.0,86.29,1.0,0.5
67,67,93,admin,Recomendeitor,"[16, 144, 147, 93, 86, 125]",1602,"['series', 'live', 'movie']",12,6,684,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 9, 7), datetime.date(2022, 8, 19), datetime.date(2021, 9, 26), datetime.date(2021, 2, 4), datetime.date(2022, 3, 27)]",2.72,57.0,42.7,1.0,6.0
68,68,96,consumer,Recomendeitor_Plus,"[97, 165, 199, 23, 56]",1424,"['series', 'movie']",20,5,2228,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 2, 9), datetime.date(2022, 10, 8), datetime.date(2021, 10, 15), datetime.date(2021, 7, 31), datetime.date(2021, 5, 3)]",2.98,111.4,156.46,1.0,2.5
69,69,97,content_creator,Recomendeitor,[82],1232,['live'],8,1,928,['Recomendeitor_Plus'],2,"[datetime.date(2021, 3, 3)]",1.20,116.0,75.32,1.0,0.5
70,70,99,admin,Recomendeitor_Plus,[67],300,['short'],4,1,168,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 3, 23), datetime.date(2021, 8, 7)]",1.30,42.0,56.0,1.0,0.5
71,71,102,moderator,Recomendeitor_Plus,[44],39,['series'],3,1,435,['Recomendeitor'],1,"[datetime.date(2021, 6, 9)]",2.10,145.0,1115.38,1.0,1.0
72,72,103,content_creator,Recomendeitor_Plus,"[100, 126]",588,"['series', 'movie']",6,2,366,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 1, 26), datetime.date(2022, 12, 11)]",4.15,61.0,62.24,1.0,2.0
73,73,104,consumer,Recomendeitor_Plus,"[49, 50, 100]",1048,"['short', 'movie']",12,3,1548,['Recomendeitor_Plus'],4,"[datetime.date(2021, 7, 4), datetime.date(2022, 3, 18), datetime.date(2022, 7, 21)]",3.83,129.0,147.71,1.0,0.75
74,74,105,moderator,Recomendeitor_Plus,"[48, 30]",616,"['short', 'series']",8,2,1064,['Recomendeitor_Plus'],4,"[datetime.date(2021, 10, 2), datetime.date(2021, 8, 16)]",2.65,133.0,172.73,1.0,0.5
75,75,106,consumer,Recomendeitor,"[200, 145, 166, 182]",1908,"['live', 'movie']",16,4,1392,['Recomendeitor_Plus'],4,"[datetime.date(2022, 8, 4), datetime.date(2021, 9, 7), datetime.date(2021, 12, 19), datetime.date(2022, 5, 17)]",3.42,87.0,72.96,1.0,1.0
76,76,108,admin,Recomendeitor_Plus,"[26, 171, 62]",376,"['live', 'series', 'movie']",6,3,590,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 10, 22), datetime.date(2021, 2, 2), datetime.date(2022, 2, 21)]",3.47,98.33,156.91,1.0,3.0
77,77,109,content_creator,Recomendeitor,"[104, 106, 19, 28]",3296,"['short', 'documentary', 'live', 'movie']",32,4,1600,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 3, 9), datetime.date(2021, 7, 7), datetime.date(2021, 7, 22), datetime.date(2021, 12, 12)]",3.25,50.0,48.54,1.0,1.0
78,78,110,consumer,Recomendeitor,"[120, 135]",648,['movie'],8,2,724,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 8, 9), datetime.date(2021, 2, 18)]",3.60,90.5,111.73,1.0,1.0
79,79,111,moderator,Recomendeitor_Plus,"[34, 2, 71, 104, 40, 46, 24]",8685,"['short', 'series', 'documentary', 'live']",105,7,6585,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 7, 1), datetime.date(2022, 6, 16), datetime.date(2022, 8, 13), datetime.date(2022, 9, 4), datetime.date(2021, 4, 13), datetime.date(2021, 7, 13), datetime.date(2022, 6, 26)]",3.00,62.71,75.82,1.0,2.33
80,80,112,consumer,Recomendeitor_Plus,"[67, 135, 107, 78, 53, 119]",8928,"['live', 'movie', 'documentary', 'short', 'series']",96,6,12544,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 2, 18), datetime.date(2022, 4, 6), datetime.date(2021, 3, 11), datetime.date(2022, 7, 19), datetime.date(2022, 3, 27), datetime.date(2022, 3, 15)]",3.48,130.67,140.5,1.0,1.5
81,81,113,consumer,Recomendeitor_Plus,"[194, 93, 190, 167]",2178,"['short', 'documentary', 'series']",24,4,2226,"['Recomendeitor_Plus', 'Recomendeitor']",6,"[datetime.date(2022, 7, 11), datetime.date(2021, 4, 21), datetime.date(2021, 4, 20), datetime.date(2022, 2, 16)]",2.08,92.75,102.2,1.3333333333333333,0.67
82,82,114,content_creator,Recomendeitor_Plus,"[33, 84]",492,"['series', 'live']",6,2,99,['Recomendeitor'],1,"[datetime.date(2021, 5, 1), datetime.date(2021, 2, 27)]",3.85,16.5,20.12,1.0,2.0
83,83,115,admin,Recomendeitor,"[128, 16, 2]",1398,"['live', 'movie']",18,3,1278,['Recomendeitor'],2,"[datetime.date(2022, 6, 17), datetime.date(2021, 3, 28), datetime.date(2022, 5, 26)]",2.00,71.0,91.42,1.0,1.5
84,84,117,moderator,Recomendeitor,"[104, 50]",1572,"['short', 'movie']",24,2,2004,['Recomendeitor_Plus'],6,"[datetime.date(2021, 8, 8), datetime.date(2022, 4, 10)]",3.95,83.5,127.48,1.0,0.33
85,85,118,moderator,Recomendeitor_Plus,"[185, 93, 109, 86]",1005,"['series', 'live']",12,4,1161,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 4, 11), datetime.date(2022, 2, 27), datetime.date(2022, 12, 15), datetime.date(2021, 6, 28)]",2.70,96.75,115.52,1.0,4.0
86,86,119,admin,Recomendeitor_Plus,[132],51,['short'],3,1,357,['Recomendeitor_Plus'],1,"[datetime.date(2022, 10, 12)]",4.70,119.0,700.0,1.0,1.0
87,87,120,moderator,Recomendeitor_Plus,"[174, 199]",744,"['series', 'movie']",16,2,1800,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 3, 5), datetime.date(2022, 5, 15)]",4.05,112.5,241.94,1.0,0.5
88,88,121,admin,Recomendeitor_Plus,"[24, 35]",840,"['live', 'movie']",8,2,520,['Recomendeitor_Plus'],1,"[datetime.date(2021, 9, 3), datetime.date(2022, 11, 17)]",2.90,65.0,61.9,1.0,2.0
89,89,122,moderator,Recomendeitor,"[170, 42, 149]",924,"['live', 'movie']",18,3,1104,"['Recomendeitor_Plus', 'Recomendeitor']",6,"[datetime.date(2021, 8, 6), datetime.date(2022, 10, 2), datetime.date(2021, 6, 29)]",2.87,61.33,119.48,1.0,0.5
90,90,123,content_creator,Recomendeitor,"[193, 34]",434,"['documentary', 'movie']",6,2,694,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 12, 14), datetime.date(2021, 5, 25), datetime.date(2022, 4, 25)]",2.60,115.67,159.91,1.0,2.0
91,91,125,content_creator,Recomendeitor,"[192, 178, 14, 23]",816,"['live', 'documentary', 'series', 'movie']",8,4,408,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 9, 19), datetime.date(2022, 1, 20), datetime.date(2022, 5, 13), datetime.date(2021, 11, 21)]",2.98,51.0,50.0,1.0,4.0
92,92,127,consumer,Recomendeitor_Plus,"[113, 83, 175]",281,"['short', 'documentary', 'movie']",3,3,160,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 8, 3), datetime.date(2022, 2, 24), datetime.date(2022, 8, 26)]",2.70,53.33,56.94,1.0,3.0
93,93,128,consumer,Recomendeitor,"[26, 189, 39]",1120,"['short', 'live', 'series']",12,3,1736,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 4, 23), datetime.date(2022, 4, 14), datetime.date(2022, 4, 2)]",3.77,144.67,155.0,1.0,1.5
94,94,131,content_creator,Recomendeitor,[65],153,['short'],1,1,61,['Recomendeitor'],1,"[datetime.date(2022, 10, 6)]",1.80,61.0,39.87,1.0,1.0
95,95,132,admin,Recomendeitor_Plus,"[106, 69]",1686,"['live', 'movie']",12,2,990,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 9, 26), datetime.date(2022, 5, 30)]",2.35,82.5,58.72,1.0,0.67
96,96,134,moderator,Recomendeitor,"[106, 163, 140, 130]",876,"['short', 'live', 'series', 'movie']",8,4,528,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 9, 15), datetime.date(2021, 10, 3), datetime.date(2022, 3, 11), datetime.date(2022, 3, 30)]",2.98,66.0,60.27,1.0,4.0
